Organ,RMSE,R_Square
Adipose_Subcutaneous,28.26894226525127,-3.497678525099645
Artety_Aorta,38.89947683198719,-8.780496217510915
Artety_Coronary,39.892473301473,-12.258063955888527
Brain_Cerebellum,69.22449991517293,-46.48611357624386
Brain_Cortex,81.56391219947749,-63.28767354715295
Colon_Sigmoid,55.82741328774102,-15.188504427784483
Heart_Atrial_Appendage,45.21947932343106,-19.848800028788318
Liver,12.950755047178847,-0.47119611684682816
Lung,60.17251203398015,-24.721661353325658
Nerve_Tibial,13.557863056083276,-0.026296255758690323
Pancreas,18.06561235306724,-0.829227240034236
Skin_Sun_Exposed_Lower_Leg,63.26137330929582,-21.147132026711876
