,adipose subcutaneous extreme agers,artery aorta extreme agers,heart extreme agers,lung extreme agers,multi-organ extreme agers
adipose tissue,2.3765049699812755,0.9602968746698552,0.656502136262652,1.47561211247096,2.04737924811567
aorta,1.16610362024773,2.3888803249680577,0.637843989472009,0.727305962833081,1.86142619523523
coronary artery,0.7529260524448433,1.4315239280273901,0.856153789586403,0.809784252318147,1.01164096594221
cerebellum,1.0921796218276303,0.7021511472480899,1.01955310946811,0.781991925324895,0
cerebral cortex,0.5545045897844258,0.8826588061347832,0.596690251569744,0.0907323851689642,0
colon,1.4232303590066924,0.5811928508922111,0.815853074618191,1.30741511263299,1.45235652310805
atrial appendage,0.4248447113477027,0.7788982744907874,2.37733982681613,0.84772138312842,1.65281232931326
liver,1.3762061246384452,0.774031458892939,0.578762767284801,1.54536602409132,3.16033995363834
lung,1.1668108849915841,0.709117028366446,0.688794923476796,2.4658415392414,2.34333949687025
nerve,0.8315511174041205,0.5869959135694988,0.956442302930003,1.23352180064309,1.64284339304208
pancreas,0.7914551574955833,0.5335670685461433,0.768487610298645,1.34109286947959,1.78685513849992
skin,0.8181375150529762,0.5724903856914499,0.830949204550942,1.00874143697197,1.71254036036822


,liver,artery_aorta,artery_coronary,brain_cortex,brain_cerebellum,heart,adipose_subcutaneous,lung,skin_sun_exp,nerve_tibial,colon_sigmoid,pancreas
